kota,lokasi,luas_lahan,luas_bangunan,kamar_tidur,kamar_mandi,keamanan_24jam,taman_bermain_anak,harga
Jakarta Selatan,"Kebayoran Baru, Jakarta Selatan",72,39,2,1,Ada,Ada,614004816.0
Jakarta Selatan,"Jalan Kalibata Selatan I, Jakarta Selatan 12740, Indonesia                                        Kalibata, Jakarta Selatan",82,180,4,4,Ada,Tidak,3000000000.0
Jakarta Selatan,"Kebagusan, Jakarta Selatan",75,130,3,3,Tidak,Tidak,2125000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",86,200,4,4,Tidak,Tidak,2500000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",75,150,4,4,Ada,Tidak,2075000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",100,200,4,4,Ada,Tidak,2750000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",154,250,5,5,Tidak,Tidak,4800000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",195,300,4,4,Tidak,Tidak,4850000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",131,180,4,4,Ada,Tidak,2900000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",127,250,5,4,Ada,Tidak,3900000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",71,120,3,3,Tidak,Tidak,1650000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",125,220,5,5,Tidak,Tidak,3050000000.0
Jakarta Selatan,"Cilandak, Jakarta Selatan",105,220,5,5,Ada,Tidak,3700000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",107,240,4,4,Ada,Tidak,3300000000.0
Jakarta Utara,"Penjaringan, Jakarta Utara",300,374,4,4,Ada,Ada,10733000000.0
Jakarta Selatan,"Pondok Labu, Jakarta Selatan",129,36,2,2,Ada,Tidak,300000000.0
Jakarta Timur,"Lubangbuaya Kel., Setu, Bekasi Kabupaten, JABODETABEK, Indonesia                                        Cipayung, Jakarta Timur",228,300,4,4,Tidak,Tidak,3500000000.0
Jakarta Selatan,"Jagakarsa, Jakarta, JABODETABEK, Indonesia                                        Jagakarsa, Jakarta Selatan",90,158,4,4,Ada,Tidak,2900000000.0
Jakarta Selatan,"Pondok Indah, Jakarta Selatan",1248,1500,6,6,Tidak,Tidak,110000000000.0
Jakarta Pusat,"Pejompongan                                         Tanah Abang, Jakarta Pusat",296,300,4,4,Ada,Tidak,13500000000.0
Jakarta Selatan,Kebagusan Jakarta Selatan                                        Jakarta Selatan,119,260,5,5,Ada,Tidak,3200000000.0
Jakarta Selatan,Jakarta Selatan,744,450,7,4,Tidak,Tidak,17900000000.0
Jakarta Selatan,Jakarta Selatan,120,220,3,3,Tidak,Tidak,7850000000.0
Jakarta Timur,"Cipinang, Jakarta Timur",31,60,3,3,Tidak,Tidak,712000000.0
